text_content,font_size,font_name,is_bold,is_italic,is_all_caps,x_coordinate,y_coordinate,width,height,page_number,line_spacing,indentation_level,ends_with_colon,contains_numbering_bullets,is_first_line_on_page,distance_to_previous_line,distance_to_next_line,label,heading_score
Application form for grant of LTC advance,12,"OIKOMH+Arial,Bold",True,False,False,199.8600006,720.9723816,237.3243103,16.17462158,1,23.72636414,25,False,False,True,0,23.72636414,title,4
Name of the Government Servant,12,OILBGN+Tahoma,False,False,False,95.99856567,697.2460175,147.4557037,12.09280396,1,23.72636414,5,False,False,False,23.72636414,2.942810059,para,2
PAY + SI + NPA,12,OILBGN+Tahoma,False,False,True,95.99856567,625.381073,72.9102478,12.0927887,1,18.11483765,5,False,False,False,18.11483765,2.942810059,para,3
10.,12,OIKPLG+Tahoma-Bold,True,False,False,70.02000427,414.0640106,18.27253723,12.3948822,1,38.70475769,0,False,False,False,38.70475769,14.57762146,para,4
S.No,12,OIKPLG+Tahoma-Bold,True,False,False,95.99856567,366.1800232,115.4679718,12.3948822,1,15.12330627,5,False,False,False,15.12330627,0,para,3
Name,12,OIKPLG+Tahoma-Bold,True,False,False,118.7712402,366.1800232,213.73526,12.3948822,1,0,9,False,False,False,0,0,para,3
Age,12,OIKPLG+Tahoma-Bold,True,False,False,343.4770966,366.1800232,111.252533,12.3948822,1,0,52,False,False,False,0,0,para,3
Relationship,12,OIKPLG+Tahoma-Bold,True,False,False,444.5849915,366.1800232,153.7717896,12.3948822,1,0,71,False,False,False,0,12.18049622,para,2
11.,12,OIKPLG+Tahoma-Bold,True,False,False,70.02000427,331.6263885,18.27253723,12.39486694,1,10.13417053,0,False,False,False,10.13417053,2.046325684,para,3
12.,12,OIKPLG+Tahoma-Bold,True,False,False,70.02973938,263.2304382,18.27253723,12.3948822,1,5.875869751,0,False,False,False,5.875869751,41.53062439,para,3
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,12,OILBGN+Tahoma,False,False,False,70.02973938,221.6998138,505.282135,23.79582214,1,41.53062439,0,False,False,False,41.53062439,35.2844696,para,2
